ชื่อยา,ชื่อสามัญ,ความแรง,หน่วยนับ,ราคาทุน,ราคาจำหน่าย,Dosage Form,บัญชี,รหัส TMT สกส.,Pregnancy Cagetory
400-ACYCLOVIR,ACICLOVIR,400 mg.,เม็ด,2.56,4.00,TABLETS,ก,482326,B
400-ETHAMBUTOL,ETHAMBUTOL,400 mg.,เม็ด,1.38,2.00,TABLETS,ก,737096,B
45-TAMIFLU,OSELTAMIVIR,45 mg.,แค็บซูล,15.00,19.00,CAPSULES,จ1,452395,
450-ALCOHOL(ขวดใหญ่),ETHYLALCOHOL,70 %,ขวด (450 ml.),27.82,35.00,SOLUTIONS,ก,800133,
450-RIFAMPICIN,RIFAMPICIN,450 mg.,เม็ด,6.00,8.00,CAPSULES,ก,737217,C
480-CO-TRIMOXAZOLE,TRIMETHOPRIM SULFAMETHOXAZOLE,(80+400) mg.,เม็ด,0.49,1.00,TABLETS,ก,339255,C
5-ACYCLOVIR(ยานอกบัญชีฯ),ACICLOVIR,5 g.,หลอด (5 g.),14.00,18.00,CREAM,,485815,
5-CLOTRIMAZOLE CREAM,CLOTRIMAZOLE,.,หลอด (5 g.),6.00,8.00,CREAMS,ก,496266,B
5-DIAZEPAM,DIAZEPAM,5 mg.,เม็ด,0.12,1.00,TABLETS,ก,767162,D
5-ENALAPRIL,ENALAPRIL,5 mg.,เม็ด,0.19,1.00,TABLETS,ก,111471,D
5-HALOPERIDOL,HALOPERIDOL,5 mg.,เม็ด,0.86,2.00,TABLETS,ก,343048,C
5-ISOSORBIDE DINITRATE,ISOSORBIDE,5 mg.,เม็ด,0.80,2.00,TABLETS,ก,343259,C
50-LOSARTAN,LOSARTAN,50 mg.,เม็ด,0.71,2.00,TABLETS,ข,1002011,
50-MAGNESIUM SULPHATE,MAGNESIUM,50 %,Amphule (2 ml.),6.42,9.00,INJECTIONS,ก,761277,
50-PHENYTOIN (DILANTIN),PHENYTOIN,50 mg.,เม็ด,2.59,3.00,TABLETS,ก,313344,D
500-ETHAMBUTOL,ETHAMBUTOL,500 mg.,เม็ด,2.60,4.00,TABLETS,ก,322918,
500-PARACETAMOL,PARACETAMOL,500 mg.,เม็ด,0.14,1.00,TABLETS,ก,384972,
6.25-CARVEDILOL,CARVEDILOL,6.25 mg.,เม็ด,1.72,3.00,TABLETS,ค,1235012,
60-PHENOBARBITAL,PHENOBARBITAL,60 mg.,เม็ด,0.13,1.00,TABLETS,ก,742517,D
600-CLINDAMYCIN,CLINDAMYCIN,600 mg./4ml.,VIAL,18.40,23.00,INJECTIONS,ข,553826,B
600-GEMFIBROZIL(ยาโครงการ),GEMFIBROZIL,600 mg.,แค็บซูล,0.82,2.00,CAPSULES,ก,115774,C
625-AUGMENTIN,AMOXICILLIN CLAVULANIC ACID,625 mg.,เม็ด,8.56,11.00,TABLETS,ค,286406,B
75-DicloFENAC,DICLOFENAC,75 mg./3ml.,Amphule,3.20,5.00,INJECTIONS,ก,120291,
75-TAMIFLU,OSELTAMIVIR,75 mg.,แค็บซูล,25.00,31.00,CAPSULES,จ1,339422,
81-ASPIRIN,ASPIRIN,81 mg.,เม็ด,0.21,1.00,TABLETS,ก,251581,D
ABACAVIR (ยาโครงการ),ABACAVIR,300 mg.,เม็ด,10.84,14.00,TABLETS,ค,1043484,
ACETATED RINGER (ARI),CALCIUM+POTASSIUM+SODIUM,.,"ขวด (1,000 ml.)",31.00,38.00,INJECTIONS,ก,801630,
ACETYLCYSTEINE,ACETYLCYSTEINE,300 mg./3ml.,Amphule (3 ml.),20.00,25.00,INJECTIONS,ก,536330,
ACTIVATED CHARCOAL,ACTIVATEDCHARCOAL,.,ซอง (5 g.),13.91,18.00,POWDERS,ก,763486,
ADENOSINE (ADENOCOR),ADENOSINE,3 mg./ml.,Vial,438.34,515.00,INJECTIONS,ก,536934,C
ADRENALINE,ADRENALINE,1 mg./ml.,Amphule (1 ml.),3.21,5.00,INJECTIONS,ก,537227,D
ALBENDAZOLE,ALBENDAZOLE,200 mg.,เม็ด,2.50,4.00,TABLETS,ก,232811,C
ALLOPURINAL,ALLOPURINAL,100 mg.,เม็ด,0.38,1.00,TABLETS,ก,235378,C
ALUMAG,ALUMINIUM+MAGNESIUM,.,เม็ด,0.24,1.00,TABLETS,ก,763897,
AMIKACIN Inj.,AMIKACIN SULFATE,500 mg.,Vial,48.50,59.00,,ก,537994,
AMIKACIN INJECTION,AMIKACIN SULFATE,250 mg.,ขวด (2 ml.),18.00,23.00,INJECTIONS,ก,537412,
AMINOPHYLLINE,AMINOPHYLLINE,25 mg./ml.,AMPHULE,5.44,7.00,INJECTIONS,ก,664348,C
AMIODARONE (CORDARONE),AMIODARONE,50 mg./ml.,AMPHULE,102.90,130.00,INJECTIONS,ค,664526,D
AmLoDIPINE,AMLODIPINE,5 mg.,เม็ด,0.75,2.00,TABLETS,ก,108504,D
AMMON CARBONATE SYRUP,AMMONIUM+CARBONATE,2.375 mg/5ml,ขวด (60 ml.),7.00,9.00,SYRUPS,ก,811036,C
AMOXICILLIN,AMOXICILLIN,250 mg.,แค็บซูล,0.85,2.00,CAPSULES,ก,467558,B
AMOXICILLIN,AMOXICILLIN,500 mg.,แค็บซูล,1.28,2.00,CAPSULES,ก,742125,B
AMOXICILLIN SYRUP250,AMOXICILLIN,250 mg.,ขวด (60 ml.),18.00,23.00,SYRUPS,ก,586915,
AMPICILLIN,AMPICILLIN,1 g.,VIAL,10.00,13.00,INJECTIONS,ก,539786,B
AMPICILLIN,AMPICILLIN,250 mg.,VIAL,7.00,9.00,INJECTIONS,ก,540227,B
AMPICILLIN,AMPICILLIN,500 mg.,VIAL,8.00,11.00,INJECTIONS,ก,540243,B
ANTIPAIN,METHYLSALICYLATE+MENTHOL,25 g.,หลอด,15.00,19.00,CREAMS,ก,940555,
aPV.VACCINE 0.5 ML/DOSE(ไอกรน),Recombinant acellular Pertussis vaccine,0.5 ml.,dose,350.00,414.00,INJECTIONS,ก,1025962,
ARTANE(TRIHEXYPHENIDYL),TRIHEXYPHENIDYL,2 mg.,เม็ด,0.19,1.00,TABLETS,ก,791973,C
ARTESUNATE,ARTESUNATE,50 mg.,เม็ด,13.75,18.00,TABLETS,ค,249839,
ARTESUNATE,ARTESUNATE,60 mg.,VIAL,126.00,156.00,INJECTIONS,ค,540918,
ATENOLOL,ATENOLOL,50 mg.,เม็ด,0.16,1.00,TABLETS,ก,417203,D
ATORVASTATIN,ATORVASTATIN,40 mg.,เม็ด,4.00,6.00,TABLETS,ง,693947,X
ATROPINE,ATROPINE,0.6 mg./ml.,AMPHULE,2.25,3.00,INJECTIONS,ก,766735,C
AUGMENTIN INJECTION,AMOXICILLIN CLAVULANIC ACID,1.2 g.,Vial,64.20,78.00,INJECTIONS,ค,539218,
AVAMYS,FLUTICASONE,27.5 mcg./dose,ขวด,240.75,288.00,SUSPENSIONS,ง,692534,
AZITHROMYCIN DIHYDRATE,AZITHROMYCIN,250 MG.,CAPSULE,6.72,9.00,CAPSULES,ง,327426,
AZITHROMYCIN DRY SYRUP,AZITHROMYCIN,200 MG./5 ML.,BOTTLE.,72.00,88.00,POWDERS,ง,1038305,
BACLOFEN,BACLOFEN,10 mg.,เม็ด,0.70,2.00,TABLETS,ข,383898,
BCG VACCINE,BACILLUS+CALMETTE+GUERIN,.,VIAL,13.60,18.00,INJECTIONS,ก,668707,
BECLOMETASONE(ยานอกบัญชีฯ),BECLOMETASONE,250 mcg./dose,หลอด,321.00,380.00,SOLUTIONS,,719758,
BENZATHINE BENZYL PENICILLIN,BENZATHINEBENZYLPENICILLIN,1.2 mu,VIAL,37.00,46.00,INJECTIONS,ก,661235,B
BENZYL BENZOATE LOTION(Scabicide),BENZYLBENZOATE,25 %,ขวด (60 ml.),21.40,27.00,SUSPENSIONS,ก,782770,
BERODUAL MDI,IPRATROPIUM+FENOTEROL,.,หลอด,156.22,191.00,SOLUTIONS,ก,1016947,
BERODUAL NB (พ่นที่รพ.),IPRATROPIUM+FENOTEROL,.,DOSE,30.70,38.00,SOLUTIONS,ก,529813,
BETAHISTINE,BETAHISTINE,6 mg.,เม็ด,2.60,1.00,TABLETS,ข,373832,B
BISACODYL,BISACODYL,5 mg.,เม็ด,0.12,1.00,TABLETS,ก,264414,C
BROWN MIXTURE,OPIUM+GLYCYRRHIZA,.,ขวด (60 ml.),8.00,11.00,SYRUPS,ก,532586,C
BUDESONIDE INHALER,BUDESONIDE INHALER,200 mcg./dose,ขวด MDI (200 dose),85.60,104.00,POWDERS,ก,664459,
BUDESONIDE NB.(PULMICORT Respule),BUDESONIDE,1 mg./2 ml.,Respule,42.75,53.00,SOLUTIONS,ก,527086,
CAFERGOT,ERGOTAMINE+CAFEINE,.,เม็ด,1.60,3.00,TABLETS,ค,270705,X
CALAMINE LOTION,CALAMINE+ZINCOXIDE,.,ขวด (60 ml.),5.00,7.00,SUSPENSIONS,ก,491292,
CALCIUM (CaCO3),CALCIUM,1250 mg.,เม็ด,0.33,1.00,TABLETS,ก,740083,C
CALCIUM GLUCONATE,CALCIUM,0.45 mEq./ml.,AMPHULE (10 ml.),6.42,9.00,INJECTIONS,ก,767041,C
CapToPRIL,CAPTOPRIL,25 mg.,เม็ด,1.50,3.00,TABLETS,ก,111348,D
CARBAMAZEPINE,CARBAMAZEPINE,200 mg.,เม็ด,2.48,4.00,TABLETS,ก,273712,D
CEFAZOLIN,CEFAZOLIN,1 g.,Vial,17.00,22.00,INJECTIONS,ก,543096,
CeFOtaxime,CEFOTAXIME,1 g.,VIAL,13.70,18.00,INJECTIONS,ค,545853,B
CEFtaZiDime,CEFTAZIDIME,1 g.,VIAL,27.82,35.00,INJECTIONS,ค,547549,B
CefTRIaXONE,CEFTRIAXONE,1 g.,VIAL,16.00,20.00,INJECTIONS,ค,548983,B
CELECOXIB,CELECOXIB,200 MG.,CAPSULES.,4.82,7.00,CAPSULES,-,117799,
CEPHALEXIN,CEPHALEXIN,500 mg.,เม็ด,2.00,3.00,CAPSULES,ก,460029,
CETIRIZINE,CETIRIZINE,10 mg.,เม็ด,0.32,1.00,TABLETS,ก,367559,B
CETIRIZINE SYRUP (ZYRTEC ),CETIRIZINE,1 mg./ml.,ขวด,10.00,13.00,SYRUPS,ก,601467,B
CHAMPIX 0.5+1  MG.(VARENICLINE TARTRATE),VARENICLINE TARTRATE,0.5 mg.+1 mg.,กล่อง,0.00,0.00,TABLETS,-,770504,
CHAMPIX 1 MG.(VARENICLINE TARTRATE),VARENICLINE TARTRATE,1 MG.,กล่อง,0.00,0.00,TABLETS,-,770536,
ChloRAMpheniCAL EYE DROP,CHLORAMPHENICAL,.,ขวด (5 ml.),9.50,12.00,SOLUTIONS,ก,839061,C
CHLOROQUINE,CHLOROQUINE,250 mg.,เม็ด,0.44,1.00,TABLETS,ก,736983,C
CHLORPHENIRAMINE (CPM syr.),CHLORPHENIRAMINE,2 mg/5ml,ขวด (60 ml.),5.00,7.00,SYRUPS,ก,783714,C
CHLORPHENIRAMINE(cpm inj.),CHLORPHENIRAMINE,10 mg./ml.,AMPHULE (1 ml.),2.24,3.00,INJECTIONS,ก,783664,C
CHLORPROMAZINE,CHLORPROMAZINE,50 mg.,เม็ด,0.37,1.00,TABLETS,ก,368406,C
CiPROfloxACIN,CIPROFLOXACIN,250 mg.,เม็ด,0.70,2.00,TABLETS,ง,282243,C
CIPROFLOXACIN INJECTION,CIPROFLOXACIN,200 mg.,Vial (100 ml.),25.00,31.00,INJECTIONS,ง,553447,
CLARITHROMYCIN,CLARITHROMYCIN,250 mg.,เม็ด,6.50,9.00,TABLETS,ง,285927,
CLOPIDOGREL(Plavix),CLOPIDOGREL,75 mg.,เม็ด,2.04,3.00,TABLETS,ง,1140422,B
CLORAZEPATE(TRANXENE),CLORAZEPATE,5 mg.,แค็บซูล,0.70,2.00,TABLETS,ข,533177,D
CLOXACILLIN,CLOXACILLIN,1 g.,VIAL,12.00,16.00,INJECTIONS,ก,554440,B
CO-TRIMOXAZOLE INJECTION,SULFAMETHOXAZOLE,400+80,AMPULE,27.24,34.00,INJECTIONS,ก,554953,
COLCHICINE,COLCHICINE,0.6 mg.,เม็ด,0.32,1.00,TABLETS,ก,460086,D
COVID-19 VACCINE (ASTRAZENECA),COVID-19 VACCINE (ASTRAZENECA),0.5 ml.,dose,155.97,0.00,INJECTIONS,ก,,
COVID-19 VACCINE (COVOVAX),COVID-19 VACCINE (COVOVAX),0.5 ml.,dose,"1,500.00",0.00,INJECTIONS,ก,,
COVID-19 VACCINE (MODERNA),COVID-19 VACCINE (MODERNA),0.5 ml.,dose,"1,115.00",0.00,INJECTIONS,ก,,
COVID-19 VACCINE (PFIZER) ฝาแดง,COVID-19 VACCINE (PFIZER),0.2 ml.,dose,0.00,0.00,INJECTIONS,ก,,
COVID-19 VACCINE (PFIZER) ฝาเทา,COVID-19 VACCINE (PFIZER),0.3 ml.,dose,0.00,0.00,INJECTIONS,ก,,
COVID-19 VACCINE (PFIZER) ฝาม่วง,COVID-19 VACCINE (Pfizer),0.3 ml.,dose,608.00,0.00,INJECTIONS,ก,,
COVID-19 VACCINE (PFIZER) ฝาส้ม,COVID-19 VACCINE (PFIZER),0.2 ml.,dose,498.73,0.00,INJECTIONS,ก,,
COVID-19 VACCINE (SINOPHARM),COVID-19 VACCINE (SINOPHARM),0.5 ml.,dose,888.00,0.00,,ก,,
COVID-19 VACCINE (SINOPHARM)-สมาคม,COVID-19 VACCINE (SINOPHARM),0.5 ml.,dose,699.00,0.00,,ก,,
COVID-19 VACCINE (SINOVAC),COVID-19 VACCINE (SINOVAC),0.5 ml.,dose,689.00,0.00,INJECTIONS,ก,,
D-10-N/2,DEXTROSE+SODIUMCHLORIDE,.,"ขวด (1,000 ml.)",33.00,42.00,SOLUTIONS,ข,528735,
D-5-S,DEXTROSE+SODIUMCHLORIDE,.,"ขวด (1,000 ml.)",32.00,40.00,SOLUTIONS,ก,560214,
D-5-S/2,DEXTROSE+SODIUMCHLORIDE,.,"ขวด (1,000 ml.)",32.00,40.00,SOLUTIONS,ก,559894,
D-5-S/3,DEXTROSE+SODIUMCHLORIDE,.,ขวด (500 ml.),27.00,34.00,SOLUTIONS,ก,559632,
D-5-S/5,DEXTROSE+SODIUMCHLORIDE,.,ขวด (500 ml.),27.00,34.00,SOLUTIONS,ก,559238,
D-5-W,DEXTROSE,.,"ขวด (1,000 ml.)",32.00,40.00,SOLUTIONS,ก,528624,
D-5-W,DEXTROSE,.,ขวด (100 ml.),16.00,20.00,SOLUTIONS,ก,557756,
D-5-W,DEXTROSE,.,ขวด (500 ml.),27.00,34.00,SOLUTIONS,ก,557725,
DAFLON(ยานอกบัญชีฯ),MICRONIZEDPURIFIEDFLAVONOIDFRACTION,500 mg.,เม็ด,9.45,12.00,TABLETS,,644394,
DEPAKINE ORAL SOLUTION,DEPAKINE SODIUM VALPROATE,200 mg./ml.,ขวด (60 ml.),134.82,166.00,SOLUTIONS,ก,742276,
DEPO-A(ยาฉีดคุมกำเนิด),MEDROXYPROGESTERONEACETATE,150 mg.,DOSE,9.00,12.00,INJECTIONS,ก,147040,
DEXAMETHASONE,DEXAMETHASONE,4 mg./ml.,Amphule (1 ml.),4.82,7.00,INJECTIONS,ก,556491,
DEXTRAN 40,DEXTRAN+SODIUMCHLORIDE,10 g/100,ขวด (500 ml.),425.00,500.00,SOLUTIONS,ก,761064,
DEXTROMETHORPHAN,DEXTROMETHORPHAN,15 mg.,เม็ด,0.24,1.00,TABLETS,ก,307685,C
DicloFENAC,DICLOFENAC,25 mg.,เม็ด,0.09,1.00,TABLETS,ก,118507,B
DIcloXAcillin,DICLOXACILLIN,250 mg.,แค็บซูล,1.08,2.00,CAPSULES,ก,312092,
DicloXacillin Syrup,DICLOXACILLIN,62.5 mg/5ml,ขวด (60 ml.),22.00,28.00,SYRUPS,ก,611334,
DIgOxIN,DIGOXIN,0.25 mg.,เม็ด,0.34,1.00,TABLETS,ก,460249,C
DIgOxIN,DIGOXIN,0.25 mg./ml.,Amphule (2 ml.),35.10,43.00,INJECTIONS,ก,560694,
DIMENHYDRINATE,DIMENHYDRINATE,50 mg.,เม็ด,0.17,1.00,TABLETS,ก,314210,B
DIMENHYDRINATE,DIMENHYDRINATE,50 mg./ml.,Amphule (1 ml.),2.90,4.00,INJECTIONS,ก,560813,
DOLUTEGRAVIR (DTG),DOLUTEGRAVIR,50 mg.,เม็ด,10.00,13.00,TABLETS,ก,1002373,
DOMPERIDONE,DOMPERIDONE,10 mg.,เม็ด,0.22,1.00,TABLETS,ก,770602,C
DOMPERIDONE,DOMPERIDONE,5 mg/5ml,ขวด (30 ml.),6.50,9.00,SYRUPS,ก,615407,
DOPAMINE,DOPAMINE,25 mg./ml.,Amphule (10 ml.),18.08,23.00,INJECTIONS,ก,785937,C
DoxaZOSIN,DOXAZOSIN,2 mg.,เม็ด,1.96,3.00,TABLETS,ค,407314,B
DoXYCYCLINE,DOXYCYCLINE,100 mg.,แค็บซูล,0.59,2.00,CAPSULES,ก,318296,D
dT Vaccine,DIPTHERIA+TETANUS,.,DOSE,6.84,9.00,INJECTIONS,ก,668500,
DTP Vaccine,DIPTHERIA+TETANUS+PERTUSSIS,.,DOSE,12.40,16.00,INJECTIONS,ก,741649,
DTPHB1 Vaccine,DIPTHERIA+TETANUS+PERTUSSISHEPATITISB,0.5 ml.,dose,43.00,53.00,INJECTIONS,ก,672997,
DTPHBHib VACCINE(SHAN5),diphtheriatoxoid+haemophilusinfluenzaetypebvaccine+hepatitisBvirusvaccine+pertussis+tetanustoxoid,30 iu/0.5,Vial (5 ml.),274.80,327.00,INJECTIONS,ก,1105974,
Efavirenz (EFV ) (ยาโครงการ),EFAVIRENZ,600 mg.,เม็ด,6.66,9.00,TABLETS,ก,695701,C
ENOXARARIN,Enoxaparin sodium,6000 iu./0.6,Vial,224.70,269.00,INJECTIONS,ค,107134,
ERIG,EQUINEANTIRABIESIMMUNEGLOBULIN,200 iu./ml.,Vial (5 ml.),560.00,655.00,INJECTIONS,ก,762684,
ERTAPENAM,ERTAPENEM,1 g.,Vial,"1,498.00","1,709.00",INJECTIONS,ง,561456,
ERYTHROMYCIN,ERYTHROMYCIN,125 mg/5ml,ขวด (60 ml.),11.75,15.00,SYRUPS,ก,784446,
FAVIPIRAVIR,FAVIPIRAVIR,200 mg.,เม็ด,11.77,15.00,TABLETS,ก,1231309,
FENDEC,FLUPHENAZINE,25 mg.,Amphule,29.00,36.00,INJECTIONS,ก,806882,
FERROUS FUMARATE,FERROUS,200 mg.,เม็ด,0.12,1.00,TABLETS,ก,814122,
FERROUS FUMARATE(IRON ELEMENT),FERROUSFUMARATE,25 mg/5ml,ขวด,23.00,29.00,SOLUTIONS,ข,974692,
FILGRASTIM 48 Mcg,FILGRASTIM 48 Mcg,48 mcg.,Vial,780.00,908.00,INJECTIONS,ง,145406,
FLUCONAZOLE,FLUCONAZOLE,200 mg.,แค็บซูล,0.66,2.00,CAPSULES,ก,329812,C
FLUMUCIL(ยานอกบัญชีฯ)(NAC),ACETYLCYSTEINE,200 mg.,ซอง (5 g.),1.03,2.00,POWDERS,-,,
FLUOXETINE,FLUOXETINE,20 mg.,แค็บซูล,0.80,2.00,CAPSULES,ก,328756,
FMP(แบบแผง)(ETHINYLESTRADIOL+NORGESTREL),ETHINYLESTRADIOL+NORGESTREL,.,แผง,8.00,11.00,TABLETS,ก,681052,
FMP(แบบเม็ด)(ETHINYLESTRADIOL+NORGESTREL),ETHINYLESTRADIOL+NORGESTREL,.,เม็ด,0.29,1.00,TABLETS,ก,786328,
FOLIC  ACID,FOLIC,5 mg.,เม็ด,0.09,1.00,TABLETS,ก,814082,
FORMALDEHYDE,FORMALDEHYDE,38 %,ขวด (450 ml.),32.10,40.00,SOLUTIONS,ก,785218,
FUROSEMIDE,FUROSEMIDE,40 mg.,เม็ด,0.26,1.00,TABLETS,ก,332711,C
FUROSEMIDE,FUROSEMIDE,500 mg.,เม็ด,8.00,11.00,TABLETS,ก,332690,
FUROSEMIDE 20 mg / 2mL,FUROSEMIDE,10 mg./ml.,Amphule (2 ml.),4.82,7.00,INJECTIONS,ก,562227,C
GaBaPENTIN,GABAPENTIN,300 mg.,แค็บซูล,3.00,4.00,CAPSULES,ง,477458,
GENTAMICIN SULFATE,GENTAMICIN,40 mg./ml.,Amphule (2 ml.),5.35,7.00,INJECTIONS,ก,563055,C
GliPIzide,GLIPIZIDE,5 mg.,เม็ด,0.19,1.00,TABLETS,ก,336869,C
GLUCOSE,GLUCOSE,50 %,Vial (50 ml.),21.40,27.00,INJECTIONS,ก,557469,
GLYCERYL GUAIACOLATE,GLYCERYL,100 mg.,เม็ด,0.15,1.00,TABLETS,ก,715732,C
GLYCERYL GUAIACOLATE,GLYCERYL,100 mg/5ml,ขวด (60 ml.),9.00,12.00,SYRUPS,ก,813745,
GPOvir Z250 (ยาโครงการ),NERVIRAPINE+LAMIVUDINE+ZIDOVUDINE,250 mg.,เม็ด,8.60,11.00,TABLETS,ก,658013,
HALOPERIDOL,HALOPERIDOL,5 mg./ml.,Amphule (1 ml.),9.60,13.00,INJECTIONS,ก,785577,
HCTZ,HYDROCHLORLOTHIAZIDE,50 mg.,เม็ด,0.25,1.00,TABLETS,ก,1017023,D
HEAMACCEL(ยานอกบัญชีฯ),POLYGELINE,3.5 %,ขวด (500 ml.),278.20,331.00,SOLUTIONS,,776651,
HEPATITIS B VACCINE,HEPATITISB,.,DOSE,38.39,47.00,INJECTIONS,ก,673014,
HIBISCRUB,CHLORHEXIDINE,4 %,ขวด (30 ml.),7.92,10.00,SOLUTIONS,ก,797843,
HISTA-OPH,ANTAZOLIN+TETRAHYDROZOLIN,.,ขวด (10 ml.),10.16,13.00,SOLUTIONS,ก,530728,
HPV VACCINE,HPVVACCINE,0.5 ml.,Vial,279.54,332.00,INJECTIONS,จ1,735379,
HPV. VACCINE  (9 สายพันธุ์),HPV. VACCINE,0.5 ml.,Vial,736.34,858.00,INJECTIONS,จ1,1170417,
HUMAN HEPTITIS B(HBIG),HUMAN HEPTITIS B IMMONOGLOBULIN,180 iu./ml.,Vial,"2,700.00","3,031.00",INJECTIONS,ค,741339,
